Link,Headline,Date,Description
https://www.cnn.com/2024/03/11/politics/trump-classified-documents-employee-5-analysis/index.html,How a key witness lifted the lid on Trump’s handling of classified documents,"Mar 11, 2024",A new glimpse inside Donald Trump’s inner circle shows how the ex-president’s men and women often confront a fateful dilemma under huge personal pressure.
https://www.cnn.com/2024/03/11/politics/mike-rogers-donald-trump-michigan-senate/index.html,Trump endorses former Rep. Mike Rogers in Michigan Senate race,"Mar 11, 2024","Former President Donald Trump endorsed former Rep. Mike Rogers’ bid for Senate in Michigan on Monday, backing national Republicans’ pick to try to flip the open seat in the fall."
https://www.cnn.com/2024/03/11/politics/house-gop-tiktok-trump-opposition/index.html,House GOP pushes ahead with TikTok bill despite Trump opposition,"Mar 11, 2024","House Republicans are pressing ahead with a Wednesday floor vote on legislation that would ban TikTok in the United States unless it part ways with its Chinese parent company, even as former President Donald Trump has signaled some uneasiness ..."
https://www.cnn.com/2024/03/11/politics/takeaways-cnn-exclusive-interview-trump-employee-5-mar-a-lago/index.html,‘This is not a witch hunt’: Takeaways from CNN’s sit-down with ex-Trump employee who unwittingly moved classified docs,"Mar 11, 2024","Brian Butler, a former Mar-a-Lago worker referenced as “Trump Employee Number 5” in the classified documents indictment of Donald Trump, spoke exclusively with CNN on Monday about what he saw at the former president’s private club and the ..."
https://www.cnn.com/2024/03/11/politics/donald-trump-cnbc-interview-medicare-social-security-tiktok/index.html,Trump’s freewheeling CNBC interview gives glimpse of the campaign to come,"Mar 11, 2024","Shortly after Donald Trump called into CNBC Monday morning, a host on the financial network’s flagship show posed a straightforward question: How did the former president’s vision for the country compare to the one President Joe Biden laid out ..."
https://www.cnn.com/2024/03/11/politics/e-jean-carrolls-attorneys-say-theyre-watching-trumps/index.html,E. Jean Carroll’s attorneys say they’re paying attention to Trump’s latest comments,"Mar 11, 2024","Attorneys for E. Jean Carroll are not ruling out another defamation lawsuit against Donald Trump, who’s continued his attacks on the writer after two federal juries have ordered multimillion-dollar verdicts against him for defaming her."
https://www.cnn.com/2024/03/11/politics/trump-employee-5-classified-documents-mar-a-lago/index.html,"Exclusive: ‘Trump Employee 5,’ who unknowingly helped move classified documents, speaks out","Mar 11, 2024",A longtime Mar-a-Lago employee who is a central witness in the investigation into former President Donald Trump’s handling of classified documents is now speaking publicly because he believes that voters should hear the truth about his former boss ...
https://www.cnn.com/2024/03/11/politics/trump-entitlements-social-security-medicare/index.html,Trump suggests he’s open to cuts to Medicare and Social Security after attacking primary rivals over the issue,"Mar 11, 2024",Former President Donald Trump on Monday suggested he was open to making cuts to Social Security and Medicare after opposing touching the entitlement programs and attacking his GOP presidential primary rivals over the issue.
https://www.cnn.com/2024/03/11/politics/trump-delay-hush-money-trial-supreme-court/index.html,Trump asks to delay New York hush money trial until the Supreme Court rules on presidential immunity several months from now,"Mar 11, 2024","Attorneys for Donald Trump want to delay the start of his upcoming New York criminal trial until the US Supreme Court weighs in on presidential immunity, according to a new motion – a ruling that may not come until late June."
https://www.cnn.com/2024/03/11/tech/trump-tiktok-facebook-meta/index.html,Trump calls Facebook the enemy of the people. Meta’s stock sinks,"Mar 11, 2024",Facebook once again finds itself in the crosshairs of former President Donald Trump. And that’s making some traders on Wall Street nervous.
https://www.cnn.com/2024/03/11/europe/orban-trump-ukraine-intl/index.html,Hungarian leader says Trump will end the war in Ukraine by not giving ‘a penny’,"Mar 11, 2024","Hungarian Prime Minister Viktor Orbán has said Donald Trump would effectively end the war in Ukraine by cutting off funding to Kyiv, should the former US president return to power in November."
https://www.cnn.com/2024/03/11/us/5-things-to-know-for-march-11/index.html,"5 Things to know for March 11: Gaza, presidential race, Oscars, Pope Francis, Laken Riley","Mar 11, 2024",Sign up for CNN’s 5 Things newsletter to Get Up to Speed and On with Your Day.
https://www.cnn.com/2024/03/11/politics/biden-health-care-trump-new-hampshire/index.html,"Biden goes on offense over entitlement reform, setting up 2024 battle with Trump","Mar 11, 2024","President Joe Biden highlighted and hit back against comments from former President Donald Trump Monday suggesting openness to entitlement reform, vowing to a largely retirement age crowd in New Hampshire that he would block any efforts ..."
https://www.cnn.com/2024/03/11/politics/trump-despots-advisers-sound-alarm/index.html,Former advisers sound the alarm that Trump praises despots in private and on the campaign trail,"Mar 12, 2024","To Donald Trump, Hungarian strongman Viktor Orban is “fantastic”, Chinese leader Xi Jinping is “brilliant”, North Korea’s Kim Jong Un is “an okay guy”, and most alarmingly he allegedly said Adolf Hitler “did some good things,” a worldview that would ..."
https://www.cnn.com/2024/03/10/entertainment/trump-jimmy-kimmel-oscars/index.html,Jimmy Kimmel calls out Trump at the Oscars: ‘Isn’t it past your jail time?’,"Mar 11, 2024",Oscars host and late night funnyman Jimmy Kimmel on Sunday called out former President Donald Trump on stage after Trump insulted Kimmel and his hosting on social media.
https://www.cnn.com/middleeast/live-news/israel-hamas-war-gaza-news-03-11-24/index.html,"March 11, 2024 Israel-Hamas war","Mar 11, 2024","Famine is imminent in northern Gaza if the amount of aid for the enclave does not increase rapidly, the head of the UN World Food Program said Monday."
https://www.cnn.com/2024/03/10/politics/trump-biden-campaign-2024-analysis/index.html,What an intense weekend on the campaign trail tells us about a Biden-Trump matchup,"Mar 10, 2024","President Joe Biden and ex-President Donald Trump are battling as though their general election showdown is eight days rather than eight months away. An intense weekend of campaigning, with the rivals both visiting the critical swing state of ..."
https://www.cnn.com/2024/03/10/china/china-two-sessions-trump-election-analysis-intl-hnk/index.html,"China is worried about the return of Trump, but it also sees opportunities if he wins","Mar 10, 2024","As America bustled through key political moments last week, with voters casting Super Tuesday ballots and President Joe Biden laying out his national priorities in the State of the Union address, China was busy conducting the largest annual showing ..."
https://www.cnn.com/2024/03/10/cnn10/ten-content-mon/index.html,Today’s news in 10 minutes,"Mar 10, 2024","March 11, 2024"
https://www.cnn.com/entertainment/live-news/oscars-academy-awards-03-10-24/index.html,‘Oppenheimer’ dominates at the 2024 Oscars,"Mar 10, 2024","The stars were out for the 2024 Oscars at the Dolby Theatre in Hollywood, and Christopher Nolan’s “Oppenheimer” dominated, as expected. Read our updates on Jimmy Kimmel’s monologue, the red carpet, big winners and more."
https://www.cnn.com/2024/03/10/politics/donald-trump-swing-districts-2024/index.html,House GOP’s campaign boss sees Trump boost in pivotal swing districts,"Mar 10, 2024","House Republican leaders are now bullishly predicting that they will grow their majority in the 2024 elections, contending that former President Donald Trump will actually be an asset in swing suburban districts where he’s long struggled and that ..."
https://www.cnn.com/2024/03/10/us/5-things-march-10-trnd/index.html,"Start your week smart: Microsoft hack, dueling campaign visits, Trump posts bond, government funding, drug trafficking","Mar 10, 2024",CNN’s 5 Things brings you all the news you need to start your week smart.
https://www.cnn.com/2024/03/10/opinions/one-thing-biden-trump-agree-on-column-galant/index.html,Opinion: Which America do you choose?,"Mar 10, 2024","With nearly eight months to go before the vote for president, the battle lines are clearly drawn between Joe Biden and Donald Trump, two men who lead bitterly divided factions that accuse the other of trying to tear down the vision of America ..."
https://www.cnn.com/2024/03/09/opinions/biden-flipping-the-script-on-trump-zelizer/index.html,Opinion: How Joe Biden is flipping the script on Trump,"Mar 09, 2024","In taking an unusually aggressive tone, Biden unveiled what seems to be a new strategy – and it’s the kind of strategy he needs to defeat Trump, writes Julian Zelizer."
https://www.cnn.com/politics/live-news/election-campaign-news-03-09-24/index.html,March 10 - 2024 campaign updates,"Mar 10, 2024","President Joe Biden and former President Donald Trump have made their rematch all but official, each notching huge Super Tuesday wins. Follow for live updates."
https://www.cnn.com/2024/03/09/politics/election-president-trump-biden/index.html,Why it will be tough for Biden to defeat Trump,"Mar 09, 2024","The 2024 presidential general election is here, for all intents and purposes. Joe Biden and Donald Trump are set to face off in the first presidential rematch since 1956. It’s also the first rematch between a current and a former president since 1892."
https://www.cnn.com/2024/03/09/politics/biden-trump-georgia/index.html,Biden-Trump rematch kicks off in Georgia with dueling visits,"Mar 09, 2024","Sixty miles of Georgia highway and a political universe apart, Joe Biden and Donald Trump kicked off the sequel to their 2020 contest in earnest Saturday with competing rallies in what could be a decisive state this November."
https://www.cnn.com/middleeast/live-news/israel-hamas-war-gaza-news-03-09-24/index.html,"March 9, 2024 Israel-Hamas war","Mar 09, 2024",A desperate humanitarian crisis is deepening in Gaza. Aid workers say plans by the US and other nations to ramp up aid all fall short of pressuring Israel to lift its tight siege on the enclave.
https://www.cnn.com/2024/03/08/politics/trump-orban-mar-a-lago/index.html,Trump praises ‘fantastic’ Viktor Orbán while hosting Hungarian autocrat at Mar-a-Lago for meeting and concert,"Mar 09, 2024",Donald Trump heaped praise on Viktor Orbán while hosting the Hungarian prime minister at Mar-a-Lago on Friday night.
https://www.cnn.com/2024/03/08/politics/biden-reelection-pitch-pennsylvania-post-sotu-speech/index.html,Biden takes on Trump as he brings reelection pitch to Pennsylvania in his first post-SOTU speech,"Mar 08, 2024","President Joe Biden on Friday took his pitch for a second term to the crucial battleground state of Pennsylvania, contrasting himself with his predecessor in what was effectively his first rally of the 2024 general election campaign."
https://www.cnn.com/2024/03/08/politics/chris-sununu-supports-trump-for-president/index.html,New Hampshire Gov. Chris Sununu backs Trump for president,"Mar 08, 2024","New Hampshire Gov. Chris Sununu said he would support former President Donald Trump’s presidential bid this week, falling in line behind the presumptive Republican nominee after former South Carolina Gov. Nikki Haley, who had earned his coveted ..."
https://www.cnn.com/politics/live-news/state-of-the-union-biden-03-07-24/index.html,President Biden’s 2024 State of the Union address,"Mar 08, 2024","President Joe Biden gave a forceful speech, with frequent ad-libs, highlighting his work on economic issues for the middle class in his State of the Union speech Thursday night."
https://www.cnn.com/middleeast/live-news/israel-hamas-war-gaza-news-03-08-24/index.html,"March 8, 2024 Israel-Hamas war","Mar 08, 2024","US President Joe Biden cast doubt on the prospect of a deal that includes a temporary Gaza ceasefire paired with a release of hostages by Ramadan, which starts early next week."
https://www.cnn.com/2024/03/08/politics/trump-republican-national-committee/index.html,Trump’s takeover of Republican National Committee is official as McDaniel steps down,"Mar 08, 2024",Donald Trump wasted little time putting his imprint on the Republican Party just days after becoming its presumptive presidential nominee.
https://www.cnn.com/2024/03/08/politics/trump-carroll-83-million-defamation-bond-appeal/index.html,Trump posts nearly $92 million bond in E. Jean Carroll defamation case,"Mar 08, 2024",Former President Donald Trump has posted a $91.6 million bond as he appeals the judgment against him in the E. Jean Carroll defamation case.
https://www.cnn.com/2024/03/08/politics/donald-trump-viktor-orban-meeting/index.html,Orbán meeting offers preview of Trump’s 2nd-term strongman idealizations,"Mar 11, 2024",Viktor Orbán is taking his blueprint on dismantling democracy to Mar-a-Lago.
https://www.cnn.com/2024/03/08/politics/donald-trump-steele-dossier-uk-order/index.html,UK court orders Trump to pay legal fees of company he sued over controversial Russia dossier,"Mar 08, 2024","A London judge has ordered former President Donald Trump to pay six figures in legal fees to a company he sued over a controversial dossier that made unverified and salacious allegations about him, according to court documents released Thursday."
https://www.cnn.com/2024/03/08/politics/trump-raise-money-bond/index.html,Donald Trump has to raise a half billion dollars in a hurry,"Mar 08, 2024",The clock is ticking for Donald Trump to pony up roughly half a billion dollars to satisfy two recent courtroom losses.
https://www.cnn.com/2024/03/08/politics/biden-state-of-union-analysis/index.html,Biden projects a vision of strength that’s been missing from his presidency but will be needed in 2024 campaign,"Mar 08, 2024",This version of Joe Biden could beat Donald Trump.
https://www.cnn.com/middleeast/live-news/israel-hamas-war-gaza-news-03-07-24/index.html,"March 7, 2024 Israel-Hamas war","Mar 07, 2024",US President Joe Biden announced plans for the US military to establish a temporary port along the Gaza coast to bring desperately needed additional humanitarian aid into the war-torn strip. Follow for live updates.
https://www.cnn.com/2024/03/07/politics/george-santos-running-again/index.html,George Santos announces he’s running for Congress again,"Mar 07, 2024","Former GOP Rep. George Santos, who was expelled from the House last year, announced Thursday night that he’s running for Congress again — this time to challenge a Republican congressman in New York."
https://www.cnn.com/2024/03/07/politics/dean-phillips-president-biden/index.html,Dean Phillips denies his candidacy weakened Biden,"Mar 07, 2024","Rep. Dean Phillips, who ended his long-shot primary challenge to President Joe Biden this week, denied to CNN that his campaign, during which he questioned the incumbent’s ability win in November and serve out a second term, had weakened ..."
https://www.cnn.com/2024/03/07/europe/portugal-election-intl-cmd/index.html,‘We are not extremist’: Portugal’s radical right eyes kingmaker role,"Mar 07, 2024","There are signs that a lurch to the right is brewing in Portugal and many European nations, just as Donald Trump leaps toward the Republican nomination in the US."
https://www.cnn.com/2024/03/07/politics/trump-allies-israel-visit/index.html,Trump allies visit Israel as former president offers few details on how he’d approach Gaza conflict,"Mar 07, 2024","Allies of former President Donald Trump held meetings with top officials in Israel last week to discuss the current conflict in Gaza, according to three sources familiar with the trip."
https://www.cnn.com/2024/03/07/politics/special-counsel-trump-delay-motion/index.html,Special counsel asks Judge Cannon to label Trump’s immunity claim in classified documents as ‘frivolous’,"Mar 07, 2024","Special counsel Jack Smith is forcefully opposing former President Donald Trump’s sweeping claim of presidential immunity in the criminal case over his handling of classified documents, urging the judge to cut off Trump’s ability to appeal the issue ..."
https://www.cnn.com/2024/03/07/politics/juror-information-trump-new-york-trial/index.html,Judge in Trump’s NY criminal case will limit access to juror information over safety concerns,"Mar 07, 2024","The New York judge overseeing Donald Trump’s criminal trial beginning later this month agreed to limit access to juror information, citing the possibility of harassment."
https://www.cnn.com/2024/03/07/politics/fact-check-trump-claims-325-000-migrants-were-flown-in-from-parts-unknown/index.html,"Fact Check: Trump claims 325,000 migrants ‘were flown in from parts unknown’","Mar 07, 2024","In remarks Tuesday night, former President Donald Trump said, “It was announced that 325,000 people were flown in from parts unknown. Migrants were flown in — airplane — not going through borders, not going through that great Texas barrier.”"
https://www.cnn.com/2024/03/07/media/donald-trump-super-tuesday-rupert-murdoch/index.html,Why Donald Trump’s Super Tuesday win is a defeat for Rupert Murdoch,"Mar 07, 2024","Trump’s Super Tuesday victory was an outcome that Murdoch, the billionaire media mogul and one-time Republican kingmaker who controls Fox News, had hoped to avoid."
https://www.cnn.com/2024/03/07/politics/what-to-watch-state-of-the-union/index.html,What to watch in Biden’s 2024 State of the Union address,"Mar 07, 2024","President Joe Biden on Thursday will address Congress and the American people in what could be the most consequential speech of his presidency, seeking to boast about his first term while also warning the country about what he views as a ..."
https://www.cnn.com/2024/03/07/opinions/donald-trump-superpower-election-ghitis/index.html,Opinion: Trump’s pernicious superpower,"Mar 07, 2024",Frida Ghitis writes that Trump’s relentless disinformation campaign has proven astonishingly successful in creating a new reality for a large part of the electorate and that’s why he can be so hard to beat.
https://www.cnn.com/2024/03/07/politics/trump-republican-party-fractured-nomination/index.html,"Trump faces a fractured party, legal troubles and financial headwinds after securing GOP nomination","Mar 07, 2024","Twelve hours after Donald Trump predicted his near sweep of Super Tuesday states would lead to unity “very quickly” in the Republican Party, the former president delivered a parting shot to his last remaining rival for the GOP nomination. On his ..."
https://www.cnn.com/2024/03/07/politics/kfile-biden-2-million-migrants-asylum-seekers-immigration-crisis/index.html,Joe Biden promised to ‘absorb’ 2 million asylum seekers ‘in a heartbeat’ in 2019 - he now faces an immigration crisis,"Mar 07, 2024","During his 2020 presidential campaign, Joe Biden promised a stark departure from the immigration policies of the Trump administration."
https://www.cnn.com/middleeast/live-news/israel-hamas-war-gaza-news-03-06-24/index.html,"March 6, 2024 - Israel-Hamas war","Mar 06, 2024","At least 20 people have died due to malnutrition and dehydration since the war began in Gaza, including a 15-year-old boy, the Palestinian health ministry said Wednesday."
https://www.cnn.com/2024/03/06/politics/haley-voters-support-trump-biden/index.html,Haley supporters ‘dismayed’ at Trump-Biden rematch: ‘This country can do better’,"Mar 06, 2024","As Nikki Haley suspended her campaign Wednesday morning, a major question remained: Who will her voters, who span the political spectrum, throw their support behind in the general election?"
https://www.cnn.com/2024/03/06/opinions/trump-haley-biden-election-mark/index.html,Opinion: Bad omens for Trump,"Mar 06, 2024",Former President Donald Trump is the closest thing in modern political history to an incumbent who doesn’t hold the office.
https://www.cnn.com/2024/03/06/politics/trump-presumptive-nominee-analysis/index.html,America has never had a presumptive nominee like Donald Trump,"Mar 06, 2024",Donald Trump has put America on notice – his second term would be even more disruptiv﻿e and turbulent than his first.
https://www.cnn.com/politics/live-news/super-tuesday-primary-03-05-24/index.html,Trump and Biden prepare for rematch as Haley bows out of GOP race,"Mar 06, 2024","President Joe Biden and former President Donald Trump dominated their respective Super Tuesday races, setting up for a likely rematch in the presidential election in November. Follow here for the latest live news updates, results and analysis."
https://www.cnn.com/2024/03/06/politics/biden-trump-alternatives-what-matters/index.html,Biden vs. Trump is set. What are the alternatives?,"Mar 06, 2024",The Joe Biden vs. Donald Trump rematch is a presumptive reality after the president and former president both dominated Republican and Democratic primaries on Super Tuesday.
https://www.cnn.com/business/live-news/markets-fed-chair-powell-testimony-03-06-24/index.html,Markets end the day higher after Fed Chair Powell’s testimony before Congress,"Mar 06, 2024","Wall Street is desperate for a rate cut, but Fed Chair Jerome Powell is keeping them waiting. Here’s what unfolded as he testified before Congress Wednesday on the central bank’s policies."
https://www.cnn.com/2024/03/06/politics/trump-manhattan-fantasy-case/index.html,Trump attorneys accuse Manhattan DA of waging a ‘fantasy’ case against Trump,"Mar 06, 2024",Donald Trump’s attorneys accused Manhattan District Attorney Alvin Bragg of a pursuing a “fantasy” case against the former president by tying hush-money payments made to his former attorney Michael Cohen with the 2016 election.
https://www.cnn.com/2023/03/10/politics/2024-presidential-candidates-fast-facts/index.html,2024 Presidential Candidates Fast Facts,"Mar 06, 2024",Read CNN’s Fast Facts to learn more about the 2024 presidential candidates.
https://www.cnn.com/2024/03/06/politics/supreme-court-sets-argument-date-in-trump-immunity-case-for-april-25/index.html,Supreme Court sets argument date in Trump immunity case for April 25,"Mar 06, 2024",The Supreme Court will hear arguments on April 25 in the blockbuster case over whether former President Donald Trump may claim immunity from prosecution in the federal election subversion case.
https://www.cnn.com/2024/03/06/politics/supreme-court-trump-constitutional-questions/index.html,"Trump’s on the ballot, but the Supreme Court left key constitutional questions unanswered","Mar 06, 2024",This much is certain: Former President Donald Trump’s name will appear on the ballot this year as voters in every state choose a president.
https://www.cnn.com/2024/03/06/politics/nikki-haley-2024-presidential-race/index.html,Nikki Haley exits Republican presidential race,"Mar 06, 2024","Former South Carolina Gov. Nikki Haley announced Wednesday that she is exiting the Republican presidential race, leaving former President Donald Trump as the party’s presumptive nominee."
https://www.cnn.com/2024/03/06/politics/trump-campaign-promises/index.html,15 promises Donald Trump has made so far in his campaign for a second term,"Mar 06, 2024","Former President Donald Trump, now the presumptive Republican nominee, has made a number of promises on the campaign trail, including rolling back car pollution rules, building 10 new cities and appointing a special prosecutor to investigate President ..."
https://www.cnn.com/2024/03/06/politics/trump-biden-general-election-analysis/index.html,The general election is here and it’s Trump vs. Biden,"Mar 06, 2024","Only three years after Donald Trump slunk out of Washington in disgrace, he has already engineered a bounce back for the ages in the Republican primary."
https://www.cnn.com/2024/03/06/politics/exit-polls-republican-primaries-trump/index.html,Exit polls of this year’s Republican primaries show how Trump has reshaped the Republican Party,"Mar 05, 2024","With Super Tuesday in the rearview mirror, CNN’s entrance and exit polls of the Republican presidential contests so far highlight the extent to which the GOP electorate has been reshaped in former President Donald Trump’s image."
https://www.cnn.com/2024/03/05/politics/colin-allred-texas-senate-race/index.html,Colin Allred wins Democratic nomination in Texas Senate race to face Republican Ted Cruz in November,"Mar 05, 2024",US Rep. Colin Allred has won the Democratic nomination in Texas to take on Republican Sen. Ted Cruz.
https://www.cnn.com/middleeast/live-news/israel-hamas-war-gaza-news-03-05-24/index.html,"March 5, 2024 Israel-Hamas war","Mar 05, 2024",Hamas said Tuesday there will not be “any prisoner exchange” unless there is a permanent ceasefire in Gaza. Negotiators continue to work toward securing a deal by Ramadan. Follow for live updates.
https://www.cnn.com/2024/03/05/politics/exit-polls-super-tuesday/index.html,Early exit polls: Most North Carolina and Virginia GOP primary voters would consider Trump fit for presidency if convicted,"Mar 05, 2024","Nearly two-thirds of North Carolina primary voters say that they’d consider former President Donald Trump fit for the presidency if he’s convicted of a crime, according to the initial results of CNN’s exit poll of Republican primary voters in the state, with ..."
https://www.cnn.com/2024/03/05/politics/biden-fundraising-february/index.html,Biden campaign touts strongest single-month grassroots fundraising haul in February as it targets anti-Trump voters,"Mar 05, 2024","President Joe Biden raised at least $42 million for his reelection campaign and the Democratic Party in February, campaign officials told CNN, a total fueled by the strongest month of grassroots donations during this election cycle – which ..."
https://www.cnn.com/2024/03/05/politics/michael-cohen-hush-money-trial/index.html,Manhattan DA pushes back on Trump’s request to block Michael Cohen from testifying at hush money trial,"Mar 05, 2024",Prosecutors say that Donald Trump’s effort to disqualify Michael Cohen as a witness is “unprecedented” and unwarranted.
https://www.cnn.com/2024/03/05/politics/e-jean-carroll-donald-trump/index.html,Trump asks judge to cut the $83.3 million penalty in E. Jean Carroll case or grant him a new trial,"Mar 05, 2024","In a longshot bid, former President Donald Trump is asking the judge overseeing E. Jean Carroll’s defamation case against him to significantly reduce the $83.3 million jury award or grant a new trial."
https://www.cnn.com/2024/03/05/opinions/super-tuesday-trump-haley-mccarthy/index.html,Opinion: Super Tuesday won’t help Haley. But she can help Trump.,"Mar 05, 2024","Nikki Haley is only making Donald Trump stronger by dragging out the race for the Republican nomination, writes Daniel McCarthy."
https://www.cnn.com/2024/03/05/politics/trump-gop-transformation-super-tuesday/index.html,Super Tuesday may underline Trump’s transformation of the GOP,"Mar 05, 2024","Heading into Super Tuesday, former President Donald Trump remains on track to potentially win more primaries and caucuses than any previous Republican presidential candidate other than an incumbent."
https://www.cnn.com/2024/03/05/media/new-york-times-trump-coverage-backlash/index.html,The New York Times is facing backlash over its coverage of Donald Trump and the 2024 election,"Mar 05, 2024",The New York Times is facing a sustained wave of backlash. The Gray Lady has for several weeks been in the crosshairs of a vocal set of critics and readers who believe that Donald Trump poses a grave threat to American democracy and that the ...
https://www.cnn.com/middleeast/live-news/israel-hamas-war-gaza-news-03-04-24/index.html,"March 4, 2024 - Israel-Hamas war","Mar 04, 2024","A United Nations team found “clear and convincing” information that hostages in Gaza were sexually abused, UN special envoy Pramila Patten said Monday."
https://www.cnn.com/2024/03/04/politics/kenneth-chesebro-fake-elector-plot-texts/index.html,Text messages shed new light on scope of fake electors plot after 2020 election,"Mar 04, 2024","Right-wing attorney Kenneth Chesebro, who helped devise the Trump campaign’s fake electors plot, continued proposing ways to overturn the 2020 presidential election even after the US Capitol attack on January 6, 2021, according to texts ..."
https://www.cnn.com/2024/03/04/opinions/supreme-court-trump-14th-amendment-ruling-sinha/index.html,Opinion: How the Supreme Court got things so wrong on Trump ruling,"Mar 04, 2024","In ruling that Donald Trump should stay on the ballot in 2024, the Supreme Court has delivered a mortal blow to Section 3 of the 14th amendment of the Constitution that basically eviscerates its power altogether, argues historian Manisha Sinha."
https://www.cnn.com/2024/03/04/politics/north-dakota-caucuses-trump/index.html,"Trump will win North Dakota GOP caucuses, CNN projects","Mar 04, 2024","Former President Donald Trump will win North Dakota’s Republican presidential caucuses, CNN projects, claiming one final boost before the campaign expands to 15 states on Super Tuesday."
https://www.cnn.com/2024/03/04/politics/amy-coney-barrett-supreme-court-trump-analysis/index.html,"Amy Coney Barrett disagreed with the majority over Trump, but admonished the liberals instead","Mar 04, 2024",Justice Amy Coney Barrett packed two very different messages into her one-page opinion on Monday as the Supreme Court declared states could not toss former President Donald Trump off the ballot.
https://www.cnn.com/politics/live-news/supreme-court-opinion-trump-ballot-03-04-24/index.html,Supreme Court unanimously rules to keep Trump on Colorado ballot,"Mar 04, 2024",The Supreme Court ruled Monday that former President Donald Trump should appear on the ballot in Colorado.
https://www.cnn.com/2024/03/04/entertainment/sinead-o-connor-donald-trump-scli-intl/index.html,Sinéad O’Connor’s estate wants Donald Trump to stop using her music,"Mar 04, 2024","The estate of Irish singer Sinéad O’Connor has called on Donald Trump to stop using one of her songs during campaign events, the latest in a string of similar requests from artists who have decided they don’t want to be associated with the former US ..."
https://www.cnn.com/2024/03/04/politics/trump-supreme-court-colorado-14th-amendment/index.html,"Supreme Court keeps Trump on Colorado ballot, rejecting 14th Amendment push","Mar 04, 2024",The Supreme Court ruled Monday that former President Donald Trump should appear on the ballot in Colorado in a decision that follows months of debate over whether the frontrunner for the GOP nomination violated the “insurrectionist clause” included in ...
https://www.cnn.com/2024/03/04/politics/takeaways-trump-scores-big-win-in-colorado-ballot-dispute/index.html,Takeaways from Trump’s big win at the Supreme Court in the 14th Amendment case,"Mar 04, 2024",The Supreme Court on Monday ruled that former President Donald Trump could not be removed from the ballot in Colorado or any other state – a sweeping and historic ruling that brushed aside a lawsuit claiming that he disqualified himself from office ...
https://www.cnn.com/2024/03/04/politics/allen-weisselberg-trump-org-cfo-plea-perjury/index.html,Ex-Trump Org. CFO pleads guilty to perjury charges,"Mar 04, 2024",Former Trump Organization CFO Allen Weisselberg was charged on Monday with five counts of perjury relating to testimony he gave during the civil fraud trial of former President Donald Trump regarding the size of the Trump Tower triplex apartment ...
